Date,Close
2/2/2018 ,108.7
2/5/2018 ,104.7
2/6/2018 ,106.17
2/7/2018 ,104.76
2/8/2018 ,101.35
2/9/2018 ,103.09
2/12/2018 ,103.39
2/13/2018 ,104.12
2/14/2018 ,104.6
2/15/2018 ,105.18
2/16/2018 ,106.53
2/20/2018 ,105.98
2/21/2018 ,105.05
2/22/2018 ,105.24
2/23/2018 ,107.25
2/26/2018 ,109.81
2/27/2018 ,104.87
2/28/2018 ,103.16
3/1/2018 ,102.57
3/2/2018 ,102.99
3/5/2018 ,103.41
3/6/2018 ,104.94
3/7/2018 ,103.59
3/8/2018 ,104.03
3/9/2018 ,104.73
3/12/2018 ,105.17
3/13/2018 ,103.73
3/14/2018 ,103.9
3/15/2018 ,103.24
3/16/2018 ,102.87
3/19/2018 ,101.48
3/20/2018 ,101.35
3/21/2018 ,101.82
3/22/2018 ,100.6
3/23/2018 ,98.54
3/26/2018 ,100.65
3/27/2018 ,99.36
3/28/2018 ,98.54
3/29/2018 ,100.44
4/2/2018 ,98.66
4/3/2018 ,99.42
4/4/2018 ,100.95
4/5/2018 ,102.11
4/6/2018 ,100.35
4/9/2018 ,99.7
4/10/2018 ,101.37
4/11/2018 ,100.8
4/12/2018 ,100.39
4/13/2018 ,100.35
4/16/2018 ,100.24
4/17/2018 ,102.17
4/18/2018 ,101.21
4/19/2018 ,100.89
4/20/2018 ,100.24
4/23/2018 ,100.15
4/24/2018 ,99.46
4/25/2018 ,101.15
4/26/2018 ,99.84
4/27/2018 ,99.23
4/30/2018 ,100.33
5/1/2018 ,100.06
5/2/2018 ,99.62
5/3/2018 ,98.76
5/4/2018 ,101.15
5/7/2018 ,102.48
5/8/2018 ,101.79
5/9/2018 ,99.97
5/10/2018 ,101.68
5/11/2018 ,102.07
5/14/2018 ,102.44
5/15/2018 ,102.92
5/16/2018 ,105.04
5/17/2018 ,104.34
5/18/2018 ,103.93
5/21/2018 ,104.06
5/22/2018 ,104.07
5/23/2018 ,102.89
5/24/2018 ,102.11
5/25/2018 ,102.2
5/29/2018 ,99.69
5/30/2018 ,99.98
5/31/2018 ,99.47
6/1/2018 ,99.36
6/4/2018 ,100.24
6/5/2018 ,99.94
6/6/2018 ,101.91
6/7/2018 ,102.47
6/8/2018 ,103.98
6/11/2018 ,104.35
6/12/2018 ,104.33
6/13/2018 ,106.31
6/14/2018 ,108.75
6/15/2018 ,108.85
6/18/2018 ,107.06
6/19/2018 ,106.1
6/20/2018 ,107.15
6/21/2018 ,105.89
6/22/2018 ,106.34
6/25/2018 ,104.45
6/26/2018 ,104.26
6/27/2018 ,103.96
6/28/2018 ,104.77
6/29/2018 ,104.81
7/2/2018 ,105.33
7/3/2018 ,104.04
7/5/2018 ,105.34
7/6/2018 ,104.78
7/9/2018 ,106.02
7/10/2018 ,106.03
7/11/2018 ,108.04
7/12/2018 ,108.25
7/13/2018 ,110
7/16/2018 ,110.2
7/17/2018 ,110.3
7/18/2018 ,110.69
7/19/2018 ,112.13
7/20/2018 ,111.48
7/23/2018 ,111.09
7/24/2018 ,110.7
7/25/2018 ,111.18
7/26/2018 ,113.51
7/27/2018 ,112.62
7/30/2018 ,112.63
7/31/2018 ,113.56
8/1/2018 ,112.97
8/2/2018 ,112.75
8/3/2018 ,114.09
8/6/2018 ,115.94
8/7/2018 ,116.56
8/8/2018 ,113.98
8/9/2018 ,114.16
8/10/2018 ,112.68
8/13/2018 ,112.12
8/14/2018 ,112.75
8/15/2018 ,112.85
8/16/2018 ,112.48
8/17/2018 ,112.48
8/20/2018 ,111.99
8/21/2018 ,112.39
8/22/2018 ,111.94
8/23/2018 ,112
8/24/2018 ,111.93
8/27/2018 ,112.33
8/28/2018 ,112.58
8/29/2018 ,112.45
8/30/2018 ,111.92
8/31/2018 ,112.02
9/4/2018 ,110.85
9/5/2018 ,109.87
9/6/2018 ,110.26
9/7/2018 ,110.97
9/10/2018 ,110.68
9/11/2018 ,109.6
9/12/2018 ,109.46
9/13/2018 ,110.67
9/14/2018 ,109.26
9/17/2018 ,109.36
9/18/2018 ,109.53
9/19/2018 ,109.79
9/20/2018 ,111.62
9/21/2018 ,110.4
9/24/2018 ,112.77
9/25/2018 ,113.63
9/26/2018 ,115.21
9/27/2018 ,116.04
9/28/2018 ,116.94
10/1/2018 ,116.24
10/2/2018 ,117.66
10/3/2018 ,116.91
10/4/2018 ,116.13
10/5/2018 ,114.78
10/8/2018 ,116.02
10/9/2018 ,116.89
10/10/2018 ,112.86
10/11/2018 ,111.15
10/12/2018 ,112.61
10/15/2018 ,113.44
10/16/2018 ,116.19
10/17/2018 ,117.13
10/18/2018 ,116.18
10/19/2018 ,118.9
10/22/2018 ,118.27
10/23/2018 ,117.85
10/24/2018 ,111.61
10/25/2018 ,114.16
10/26/2018 ,113.19
10/29/2018 ,113.04
10/30/2018 ,114.76
10/31/2018 ,114.83
11/1/2018 ,116.1
11/2/2018 ,115.18
11/5/2018 ,115.45
11/6/2018 ,116.71
11/7/2018 ,117.05
11/8/2018 ,116
11/9/2018 ,118
11/12/2018 ,116.7
11/13/2018 ,116.85
11/14/2018 ,117.12
11/15/2018 ,117.11
11/16/2018 ,116.19
11/19/2018 ,115.42
11/20/2018 ,111.87
11/21/2018 ,113.03
11/23/2018 ,112.08
11/26/2018 ,112.55
11/27/2018 ,113.9
11/28/2018 ,116.1
11/29/2018 ,116.61
11/30/2018 ,115.49
12/3/2018 ,115.74
12/4/2018 ,112.87
12/6/2018 ,114.33
12/7/2018 ,111.98
12/10/2018 ,111.86
12/11/2018 ,111.97
12/12/2018 ,112.21
12/13/2018 ,113.39
12/14/2018 ,112.2
12/17/2018 ,110.62
12/18/2018 ,109.45
12/19/2018 ,109.22
12/20/2018 ,107
12/21/2018 ,104.22
12/24/2018 ,100.35
12/26/2018 ,105.83
12/27/2018 ,106.52
12/28/2018 ,107.3
12/31/2018 ,109.65
1/2/2019 ,108.97
1/3/2019 ,106.33
1/4/2019 ,109.61
1/7/2019 ,110.56
1/8/2019 ,111.42
1/9/2019 ,112.67
1/10/2019 ,112.8
1/11/2019 ,112.65
1/14/2019 ,112.42
1/15/2019 ,111.76
1/16/2019 ,110.91
1/17/2019 ,111.01
1/18/2019 ,111.04
1/22/2019 ,110.6
1/23/2019 ,111.12
1/24/2019 ,110.55
1/25/2019 ,111.09
1/28/2019 ,110.81
1/29/2019 ,110.9
1/30/2019 ,110.13
1/31/2019 ,111.52
2/1/2019 ,111.3
